,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,count_x,count_y,total_counts
70,70,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,25845.0,27295,53140.0
71,71,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,15016.0,13779,28795.0
72,72,276,Duane St & Greenwich St,40.71748752,-74.0104554,40267.0,40459,80726.0
73,73,278,Concord St & Bridge St,40.69766564,-73.98476437,14081.0,13614,27695.0
74,74,279,Peck Slip & Front St,40.707873,-74.00166999999998,53383.0,55029,108412.0
75,75,280,E 10 St & 5 Ave,40.73331967,-73.99510132,60672.0,61151,121823.0
76,76,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,123871.0,114520,238391.0
77,77,282,Kent Ave & S 11 St,40.70764494,-73.96841526,26601.0,26796,53397.0
78,78,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,115862.0,119607,235469.0
79,79,285,Broadway & E 14 St,40.73454567,-73.99074142,166521.0,166909,333430.0
80,80,289,Monroe St & Classon Ave,40.6845683,-73.95881081,11207.0,8732,19939.0
81,81,290,2 Ave & E 58 St,40.76020258,-73.96478473,19392.0,18939,38331.0
82,82,291,Madison St & Montgomery St,40.713126,-73.984844,29548.0,29580,59128.0
83,83,293,Lafayette St & E 8 St,40.73020661,-73.99102628,160313.0,161792,322105.0
84,84,294,Washington Square E,40.73049393,-73.99572140000002,27718.0,27846,55564.0
85,85,295,Pike St & E Broadway,40.71406667,-73.99293911,46212.0,46250,92462.0
86,86,296,Division St & Bowery,40.71413089,-73.99704679999998,53803.0,55042,108845.0
87,87,297,E 15 St & 3 Ave,40.734232,-73.986923,94787.0,95620,190407.0
88,88,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,12781.0,13474,26255.0
89,89,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,29460.0,30325,59785.0
90,90,301,E 2 St & Avenue B,40.72217444,-73.98368779,80317.0,82823,163140.0
