,short_id,entries,exits,longitude,latitude
116,126,4173653,2297334,40.847369,-73.939683
117,127,11547386,7320899,40.692338,-73.987342
118,128,1361057,974710,40.705416,-73.810562
119,129,3553064,2162466,40.686153999999995,-73.990881
120,130,1129934,1074896,40.603234,-73.972342
121,131,8382192,6831681,40.740088,-73.986429
122,132,4281519019,2898813341,40.804406,-73.93745200000001
123,133,453662860,67683017,40.87963,-73.88466600000001
124,134,1904333,1567563,40.74238,-73.94888900000001
125,135,2164629,1494116,40.639961,-73.948352
126,136,4194214,3810822,40.58681,-73.954167
127,137,5946136,3652497,40.699707000000004,-73.91181
128,138,14283031,12931568,40.732251,-74.000559
129,139,6386031,5758601,40.720852,-74.005237
130,140,4387972,3956309,40.748948,-73.93719399999999
131,141,8151890,4292904,40.721681,-73.84439
132,142,8831903,6894128,40.718379999999996,-73.987813
133,143,5681149,5403763,40.743095000000004,-73.984251
134,144,5147706,1769389,40.785821999999996,-73.95097
135,145,1468857,1637372,40.903085,-73.85059100000001
136,146,1114534945,1974708798,40.820889,-73.890567
137,147,1839031961,2112530880,40.745622999999995,-73.902969
138,148,1956411,1420686,40.655053,-73.96122700000001
139,149,3276897,3080427,40.635059000000005,-73.962793
140,150,2324258,881964,40.599307,-73.955916
141,151,5184454,4034962,40.577422999999996,-73.981225
142,152,36791417,2948421,40.64666,-73.901832
143,153,5166983,4224268,40.679279,-73.930585
144,154,3056349,1894055,40.850307,-73.905244
145,155,771251600,988090454,40.866974,-73.893485
146,156,2199164,1426358,40.873026,-73.88691899999999
147,157,136330722,68777545,40.874827,-73.878872
148,158,7823548,7727297,40.714444,-73.830979
149,159,4366901,2239844,40.80819,-73.964124
150,160,5343056,5729292,40.730056,-73.99104200000001
151,161,2732698,1498741,40.867899,-73.897326
152,162,1992870,2004535,40.828894,-73.879559
153,163,6485846,7128944,40.737348,-73.9969
154,164,1671170224,393541156,40.773424,-73.98223399999999
155,165,214624,12,40.636948,-74.07482399999999
156,166,4730675,2243692,40.783871999999995,-73.979938
157,167,5638922,5588631,40.788844,-73.97599
158,168,11598891,11816869,40.79388,-73.972363
159,169,3892231,3495052,40.821994000000004,-73.95367399999999
160,170,199926875,113410913,40.734836,-73.990688
161,171,3103281,2881613,40.677172,-73.972514
162,172,17320313,12596081,40.577961,-73.96180600000001
163,173,3228271,1550134,40.868045,-73.919921
164,174,3398328,2928659,40.851686,-73.937967
165,175,13590533,10104697,40.740388,-74.002104
166,176,1061846642,1517300320,40.746119,-73.981826
167,177,7680277,6302213,40.768143,-73.964016
168,178,7779209,7710332,40.773635999999996,-73.959875
169,179,956226273,299169072,40.779485,-73.955541
170,180,2092498845,1687953501,40.790582,-73.947473
171,181,3306159,3012258,40.795066,-73.94429699999999
172,182,674144522,588555405,40.798574,-73.94159300000001
173,183,1555730,1267673,40.873399,-73.890084
174,184,1968349,591842,40.640905,-73.96386600000001
175,185,2235852,68307,40.865286,-73.92698
176,186,3214355,2780608,40.785821999999996,-73.968952
177,187,4348959,3591708,40.781434999999995,-73.972149
178,188,338590694,336850551,40.762439,-73.985989
179,189,3402235,2831236,40.733405,-74.002898
180,190,4614442,3770889,40.744071000000005,-73.99562399999999
181,191,3745458,1903093,40.799354,-73.968329
182,192,5248622,1941740,40.804032,-73.96674200000001
183,193,3742065,2648606,40.833878999999996,-73.944726
184,194,5022737,1940436,40.725665,-73.995645
185,195,2430875008,2910097238,40.827888,-73.925736
186,196,3349125,2586581,40.661596,-73.962193
187,197,4293565,2640252,40.65515,-74.003477
188,198,5645396,4202109,40.680409999999995,-73.950326
189,199,2064032,1811712,40.679921,-73.94085799999999
190,200,3319576,1084205,40.675382,-73.87207
191,201,6369870,3865256,40.73308,-73.869259
192,202,4757484,1860506,40.729869,-73.86161
193,203,4673465,3262028,40.742868,-73.99277
194,204,3105785,2163920,40.644039,-73.979541
195,205,3949982,2562134,40.818428999999995,-73.926927
196,206,3997319,1978080,40.808076,-73.94590600000001
197,207,17029616,3996744,40.814459,-73.94099200000001
198,208,6372447,4768441,40.749858,-73.862672
199,209,1663630,1118105,40.662752000000005,-73.95060500000001
200,210,1300823,269588,40.645089,-73.948975
201,211,5960284,5138828,40.608691,-73.95777199999999
202,212,3354518,1792580,40.641426,-74.017972
203,213,2362023,1510340,40.634945,-74.023411
204,214,1687604,633632,40.629702,-74.025514
205,215,3722834,2133463,40.622715,-74.028368
206,216,1771966,1121664,40.616624,-74.030964
207,217,3662272,3148761,40.688465,-73.985474
208,218,3212400,848210,40.742445000000004,-73.882005
209,219,2651985,1325589,40.726462,-73.85263
210,220,150686392,1627166,40.680231,-73.99498
211,221,42887609,74334264,40.835535,-73.92138
212,222,171925611,272532871,40.833246,-73.860805
213,223,4689833,3393504,40.743078999999994,-73.918419
214,224,1794702,1018572,40.697356,-73.992888
215,225,1430181,752967,40.690546999999995,-73.985066
216,226,1270226,746933,40.877796000000004,-73.866341
217,227,2021309,685144,40.707221999999994,-74.013391
218,228,1779241,925857,40.625028,-73.960819
219,229,1703650,739246,40.617568,-73.95936
220,230,1384708,451637,40.595234000000005,-73.95509
221,231,2276444,1716474,40.677302000000005,-73.983135
222,232,2451165,1443223,40.648866,-74.010086
223,233,97454461,134301635,40.644959,-74.014034
224,234,976197,882819,40.636232,-73.994765
225,235,7797599,5789299,40.717240999999994,-73.956614
226,236,2799957,834928,40.703839,-73.91844
227,237,980407,587515,40.856085,-73.900695
228,238,4698927,3612547,40.756864,-73.920736
229,239,4354863,2471736,40.731324,-73.954425
230,240,14823922,10300381,40.718542,-73.994164
231,241,1966292,1202508,40.660376,-73.979509
232,242,118098327,17593042,40.629881,-73.977149
233,243,69335560,52124456,40.840047999999996,-73.917775
234,244,609657351,1010038522,40.853390000000005,-73.907733
235,245,1277484,1236875,40.8315,-73.867623
236,246,1775787,1414090,40.665438,-73.992856
237,247,643006,296811,40.631412,-73.995473
